"segment_code","epoch","year","annual_segment_total","denominator","annual_segment_%","series_delta","series_shift","series_delta_%"
"GF07",1546300800000.0,2019,146383.95346504796,715007.3288338899,20.473070353528612,4912.41063149643,141471.54283355153,3.4723666209508517
"GF07",1577836800000.0,2020,171170.90906374762,837797.0563308417,20.43107071936919,24786.955598699657,146383.95346504796,16.93283656573603
"GF07",1609459200000.0,2021,184567.46405261828,837884.5692343368,22.027791276938895,13396.55498887066,171170.90906374762,7.826420425144498
"GF08",788918400000.0,1995,5434.257485365629,423307.088073869,1.283762459563948,"",184567.46405261828,""
"GF08",820454400000.0,1996,5315.948524629195,414341.2785615329,1.2829879135104651,-118.30896073643362,5434.257485365629,-2.177095234354239
"GF08",852076800000.0,1997,5367.090921305115,421170.16571296676,1.2743283732406776,51.14239667592028,5315.948524629195,0.9620559047736007
"GF08",883612800000.0,1998,5903.928964955729,426057.95400142495,1.3857103029077549,536.8380436506131,5367.090921305115,10.002402633418965
"GF08",915148800000.0,1999,6562.034550632731,433180.5043689994,1.514849926173719,658.1055856770026,5903.928964955729,11.146908941204336
"GF08",946684800000.0,2000,6617.90450000165,450173.74443648465,1.4700778492281386,55.86994936891915,6562.034550632731,0.8514119963530519
"GF08",978307200000.0,2001,6714.512202951274,472901.52249447966,1.4198542156373908,96.60770294962367,6617.90450000165,1.4597929442710995
"GF08",1009843200000.0,2002,7362.057975565697,501423.0315539717,1.4682329115895958,647.5457726144232,6714.512202951274,9.643973427135974
"GF08",1041379200000.0,2003,7875.311402063483,537273.6255873066,1.465791549595384,513.2534264977858,7362.057975565697,6.971602617111252
"GF08",1072915200000.0,2004,7324.885868737973,564143.7827360097,1.2984076210524584,-550.4255333255096,7875.311402063483,-6.989254204999278
"GF08",1104537600000.0,2005,7815.716901630996,595271.209238224,1.3129673971017124,490.8310328930229,7324.885868737973,6.700869360816262
"GF08",1136073600000.0,2006,7794.013899146677,603188.4740736743,1.2921357476394195,-21.70300248431886,7815.716901630996,-0.2776840916511426
"GF08",1167609600000.0,2007,8017.269805402104,621464.4474668961,1.290060893761612,223.25590625542645,7794.013899146677,2.864453529905425
"GF08",1199145600000.0,2008,8922.8223011583,669750.1009420848,1.3322614343181536,905.5524957561956,8017.269805402104,11.29502334006555
"GF08",1230768000000.0,2009,8836.730771664174,679475.8256400658,1.300521731341947,-86.09152949412601,8922.8223011583,-0.9648463971197789
"GF08",1262304000000.0,2010,9063.0,702234.0,1.2905954425447927,226.26922833582648,8836.730771664174,2.5605536049755018
"GF08",1293840000000.0,2011,8754.908115756512,686730.057499068,1.2748689270482958,-308.0918842434876,9063.0,-3.39944702905757
"GF08",1325376000000.0,2012,8792.689231077895,706334.1337588404,1.2448342520680067,37.78111532138246,8754.908115756512,0.4315421112574154
"GF08",1356998400000.0,2013,7568.016365133701,680792.7982464001,1.1116475357300417,-1224.6728659441942,8792.689231077895,-13.92830832250467
"GF08",1388534400000.0,2014,7886.539866238004,695392.8783817684,1.1341128319563145,318.52350110430325,7568.016365133701,4.2088109451211
"GF08",1420070400000.0,2015,8292.67960071617,695609.1502945537,1.1921464226289518,406.13973447816625,7886.539866238004,5.14978357260116
"GF08",1451606400000.0,2016,8104.490911002111,689679.7248580637,1.1751093469755134,-188.18868971405936,8292.67960071617,-2.269335109700935
"GF08",1483228800000.0,2017,8136.796713611755,698917.1762007198,1.1642004218358162,32.30580260964416,8104.490911002111,0.39861606317292525
"GF08",1514764800000.0,2018,7616.915347909986,707433.189996761,1.076697482619505,-519.881365701769,8136.796713611755,-6.389263293650659
